contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
hogster,NBA,373-323-10,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 224.0,Over,224.0,+500
hogster,NBA,373-323-10,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),NO +9.5,NO,+9.5,+500
hogster,NBA,373-323-10,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Over),Over 236.5,Over,236.5,+500
greyford,NBA,186-153-5,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
greyford,NBA,186-153-5,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
greyford,NBA,186-153-5,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),NO +9.5,NO,+9.5,+500
Lakerfan3232,NBA,167-136-6,Sacramento @ Indiana,Sacramento,Indiana,Total (Over),Over 234.0,Over,234.0,+500
Lakerfan3232,NBA,167-136-6,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),MIN -9.5,MIN,-9.5,+500
Lakerfan3232,NBA,167-136-6,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Over),Over 236.5,Over,236.5,+500
Rambone,NBA,194-149-4,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -4.0,IND,-4.0,+100
Rambone,NBA,194-149-4,Sacramento @ Indiana,Sacramento,Indiana,Total (Under),Under 234.5,Under,234.5,+100
Rambone,NBA,194-149-4,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +10.0,PHO,+10.0,+500
Rambone,NBA,194-149-4,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 224.0,Over,224.0,+500
CoachBlue,NBA,142-114-6,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
CoachBlue,NBA,142-114-6,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
CoachBlue,NBA,142-114-6,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -9.5,SA,-9.5,+500
lewnyjune,NBA,168-138-5,Sacramento @ Indiana,Sacramento,Indiana,Total (Under),Under 234.5,Under,234.5,+500
lewnyjune,NBA,168-138-5,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 224.0,Over,224.0,+500
lewnyjune,NBA,168-138-5,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 236.5,Under,236.5,+500
PepeFrog,NBA,60-40-3,Phoenix @ Oklahoma City,Phoenix,Oklahoma City,Spread (ATS),OKC -14.5,OKC,-14.5,+500
PepeFrog,NBA,60-40-3,San Antonio @ L.A. Lakers,San Antonio,L.A. Lakers,Total (Over),Over 234.5,Over,234.5,+500
BADDGUY1956,NBA,128-102-2,Miami @ Orlando,Miami,Orlando,Spread (ATS),MIA +5.5,MIA,+5.5,+500
BADDGUY1956,NBA,128-102-2,Miami @ Orlando,Miami,Orlando,Total (Under),Under 238.5,Under,238.5,+500
BADDGUY1956,NBA,128-102-2,New York @ Toronto,New York,Toronto,Spread (ATS),NY -1.5,NY,-1.5,+500
BADDGUY1956,NBA,128-102-2,New York @ Toronto,New York,Toronto,Total (Under),Under 238.5,Under,238.5,+500
DODBUCKSTEEL,NBA,153-125-6,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -10.5,SA,-10.5,+500
tazman333,NBA,111-87-4,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
tazman333,NBA,111-87-4,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),SA -9.5,SA,-9.5,+500
jlayne89,NBA,96-73-1,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -4.0,IND,-4.0,+500
